"Data";"Descrição";"Valor (R$)";"Total (R$)"
"26/07/2022";"Valor Investimento";"50.000,00";"50.000,00"
"27/07/2022";"Rendimento Diário";"40,15";"50.040,15"
"28/07/2022";"Rendimento Diário";"40,18";"50.080,34"
"29/07/2022";"Rendimento Diário";"40,22";"50.120,55"
"01/08/2022";"Rendimento Diário";"36,75";"50.157,30"
"02/08/2022";"Rendimento Diário";"36,77";"50.194,08"
"03/08/2022";"Rendimento Diário";"36,80";"50.230,88"
"04/08/2022";"Rendimento Diário";"36,83";"50.267,71"
"05/08/2022";"Rendimento Diário";"36,86";"50.304,56"
"08/08/2022";"Rendimento Diário";"36,88";"50.341,44"
"09/08/2022";"Rendimento Diário";"36,91";"50.378,35"
"10/08/2022";"Rendimento Diário";"36,94";"50.415,29"
